,Company,TypeName,Inches,Ram,OpSys,Weight (kg),Price_euros,Brand,Resolution,Pixel Width,Pixel Height,Total Pixels,Pixel Density,IPS Panel,Touchscreen,Cpu Clock Speed (GHz),Cpu Brand,Simple Cpu Brand,Cpu Company,Memory Type,HDD Memory (GB),Hybrid Memory (GB),Flash Memory (GB),SSD Memory (GB),Total Memory (GB),Gpu Brand,Simple Gpu Brand,Gpu Company,Simple OpSys
881,HP,2 in 1 Convertible,15.6,4GB,Windows 10,2.3,684.8,PAVILION,1366 x 768,1366,768,1049088,100.45466986113651,False,True,2.5,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
1123,Dell,Notebook,15.6,4GB,Linux,2.09,523.63,LATITUDE,1366 x 768,1366,768,1049088,100.45466986113651,False,False,2.3,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Linux
784,Lenovo,Ultrabook,14.0,16GB,Windows 10,1.7,2299.0,THINKPAD,1920 x 1080,1920,1080,2073600,157.3505121487356,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,512,512,Intel HD Graphics,Intel HD,Intel,Windows
1278,Dell,Notebook,15.6,2GB,Windows 10,2.2,379.0,INSPIRON,1366 x 768,1366,768,1049088,100.45466986113651,False,False,1.6,Intel Celeron Dual Core,Intel Other,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
961,Lenovo,Ultrabook,12.5,8GB,Windows 10,1.36,1760.0,THINKPAD,1920 x 1080,1920,1080,2073600,176.23257360658386,True,False,2.6,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
658,Lenovo,Gaming,15.6,8GB,Windows 10,3.31,1196.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.6,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
82,HP,Notebook,14.0,8GB,Windows 10,1.63,860.0,PROBOOK,1920 x 1080,1920,1080,2073600,157.3505121487356,False,False,1.6,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1023,HP,Notebook,14.0,8GB,Windows 10,1.64,1185.43,PROBOOK,1920 x 1080,1920,1080,2073600,157.3505121487356,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
853,Lenovo,Ultrabook,14.0,8GB,Windows 10,1.96,1903.0,THINKPAD,1920 x 1080,1920,1080,2073600,157.3505121487356,True,False,2.8,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
916,HP,Notebook,13.3,8GB,Windows 10,1.49,960.0,PROBOOK,1920 x 1080,1920,1080,2073600,165.6321180513006,False,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1034,HP,Notebook,15.6,8GB,Windows 10,1.84,1228.99,ELITEBOOK,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
912,Lenovo,Notebook,15.6,6GB,Windows 10,2.2,789.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Nvidia GeForce,Nvidia GeForce,Nvidia,Windows
252,Asus,Notebook,15.6,4GB,Windows 10,1.68,469.0,VIVOBOOK,1366 x 768,1366,768,1049088,100.45466986113651,False,False,3.0,AMD A9-Series,AMD,AMD,HDD,1000,0,0,0,1000,AMD Radeon R5,AMD Radeon,AMD,Windows
474,Asus,Notebook,15.6,12GB,Windows 10,2.06,1299.0,ZENBOOK,3840 x 2160,3840,2160,8294400,282.42399616439724,True,False,2.6,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Intel HD Graphics,Intel HD,Intel,Windows
311,Dell,Ultrabook,13.3,16GB,Windows 10,1.21,2499.0,XPS,3840 x 2160,3840,2160,8294400,331.2642361026012,True,True,1.8,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,1000,1000,Intel UHD Graphics,Intel UHD,Intel,Windows
1078,Lenovo,Notebook,15.6,4GB,Windows 10,2.1,540.0,IDEAPAD,1366 x 768,1366,768,1049088,100.45466986113651,False,False,2.3,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
113,HP,Notebook,14.0,4GB,Windows 10,1.63,722.0,PROBOOK,1366 x 768,1366,768,1049088,111.93520355955211,True,False,1.6,Intel Core i5,Intel Core i5,Intel,HDD,500,0,0,0,500,Intel UHD Graphics,Intel UHD,Intel,Windows
412,HP,Notebook,15.6,4GB,Windows 10,2.1,469.0,PAVILION,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.0,Intel Core i3,Intel Core i3,Intel,HDD,1000,0,0,0,1000,AMD Radeon,AMD Radeon,AMD,Windows
249,Apple,Ultrabook,13.3,8GB,macOS,1.37,2040.0,MACBOOK,2560 x 1600,2560,1600,4096000,226.98300468106115,True,False,3.1,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,512,512,Intel Iris Plus Graphics,Intel Iris,Intel,Mac
742,Toshiba,Notebook,14.0,8GB,Windows 10,1.25,1535.0,TECRA,1920 x 1080,1920,1080,2073600,157.3505121487356,True,True,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
263,Dell,Notebook,15.6,4GB,Windows 10,2.18,657.0,VOSTRO,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,HDD,1000,0,0,0,1000,Intel HD Graphics,Intel HD,Intel,Windows
529,Dell,Notebook,15.6,8GB,Windows 10,1.9,1377.0,LATITUDE,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.8,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1215,Acer,Netbook,11.6,2GB,Chrome OS,1.3,174.0,CHROMEBOOK,1366 x 768,1366,768,1049088,135.0942111925629,False,False,1.5,Intel Celeron Dual Core,Intel Other,Intel,SSD,0,0,0,32,32,Intel HD Graphics,Intel HD,Intel,Other
271,Asus,Gaming,17.3,16GB,Windows 10,3.2,1549.0,ROG,1920 x 1080,1920,1080,2073600,127.33567457123111,False,False,3.0,AMD Ryzen,AMD Ryzen,AMD,Hybrid,1000,0,0,256,1256,AMD Radeon RX,AMD Radeon,AMD,Windows
884,Dell,Notebook,15.6,4GB,Windows 10,2.2,369.0,INSPIRON,1366 x 768,1366,768,1049088,100.45466986113651,False,False,1.6,Intel Pentium Quad Core,Intel Other,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
787,Lenovo,Gaming,15.6,4GB,Windows 10,2.4,999.0,LEGION,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.8,Intel Core i7,Intel Higher,Intel,HDD,1000,0,0,0,1000,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
122,Lenovo,Notebook,15.6,8GB,No OS,2.2,629.0,IDEAPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Nvidia GeForce,Nvidia GeForce,Nvidia,No OS
918,Dell,Gaming,15.6,16GB,Windows 10,2.6,1349.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.8,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
1274,Asus,Notebook,15.6,4GB,Windows 10,2.2,369.0,VIVOBOOK,1366 x 768,1366,768,1049088,100.45466986113651,False,False,1.6,Intel Celeron Dual Core,Intel Other,Intel,HDD,500,0,0,0,500,Intel HD Graphics,Intel HD,Intel,Windows
16,Dell,Notebook,15.6,8GB,Windows 10,2.2,745.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,AMD Radeon R5,AMD Radeon,AMD,Windows
789,Dell,Gaming,15.6,8GB,Windows 10,2.62,985.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
1032,MSI,Gaming,17.3,8GB,Windows 10,2.7,1191.8,GL,1920 x 1080,1920,1080,2073600,127.33567457123111,False,False,2.8,Intel Core i7,Intel Higher,Intel,Hybrid,1000,0,0,128,1128,Nvidia GeForce GTX,Nvidia GeForce,Nvidia,Windows
1166,Lenovo,Notebook,15.6,8GB,Windows 10,1.95,1390.0,THINKPAD,1920 x 1080,1920,1080,2073600,141.21199808219862,True,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
834,Lenovo,Notebook,14.0,8GB,Windows 10,1.32,1650.0,THINKPAD,1920 x 1080,1920,1080,2073600,157.3505121487356,True,False,2.6,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
579,Dell,Notebook,15.6,8GB,Linux,2.2,749.01,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,AMD Radeon R5,AMD Radeon,AMD,Linux
1158,Lenovo,Notebook,15.6,8GB,Windows 10,2.5,788.49,B51,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.3,Intel Core i5,Intel Core i5,Intel,HDD,1000,0,0,0,1000,AMD Radeon R5,AMD Radeon,AMD,Windows
351,HP,Notebook,15.6,8GB,Windows 10,1.84,1304.0,ELITEBOOK,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.7,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
359,Dell,Notebook,14.0,8GB,Windows 10,1.36,1427.0,LATITUDE,1920 x 1080,1920,1080,2073600,157.3505121487356,False,False,2.6,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
1151,HP,Notebook,15.6,4GB,Windows 10,1.86,297.0,PAVILION,1366 x 768,1366,768,1049088,100.45466986113651,False,False,1.8,AMD E-Series,AMD,AMD,HDD,500,0,0,0,500,AMD Radeon R2,AMD Radeon,AMD,Windows
427,Dell,Ultrabook,14.0,8GB,Linux,1.6,1099.0,LATITUDE,1920 x 1080,1920,1080,2073600,157.3505121487356,False,False,2.8,Intel Core i7,Intel Higher,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Linux
442,Lenovo,Ultrabook,12.5,8GB,Windows 10,1.36,1429.0,THINKPAD,1920 x 1080,1920,1080,2073600,176.23257360658386,True,False,2.5,Intel Core i5,Intel Core i5,Intel,SSD,0,0,0,256,256,Intel HD Graphics,Intel HD,Intel,Windows
97,Dell,Notebook,15.6,4GB,Linux,2.2,485.0,INSPIRON,1920 x 1080,1920,1080,2073600,141.21199808219862,False,False,2.0,Intel Core i3,Intel Core i3,Intel,SSD,0,0,0,256,256,AMD Radeon R5,AMD Radeon,AMD,Linux
